id,name,description
1,"Projector","High-definition projector"
2,"Microphone","Wireless microphone system"
3,"Wi-Fi","High-speed wireless internet"
4,"Whiteboard","Large whiteboard with markers"
5,"Computer Workstations","Computers with necessary software"
6,"Catering Services","Options for food and beverages"
7,"Wheelchair Accessibility","Accessible for people with mobility impairments"
8,"Video Conferencing","Equipment for remote participation"
9,"Air Conditioning","Climate control system"
10,"Sound System","Professional audio equipment"
11,"Stage","Elevated platform for presentations"
12,"Adjustable Lighting","Controllable lighting system"
13,"Power Outlets","Multiple accessible power outlets"
14,"Restrooms Nearby","Convenient access to facilities"
15,"Parking Nearby","Easy access to parking"
